# profile	character	normalized
latin-extended-v1	a	a
latin-extended-v1	á	a
latin-extended-v1	à	a
latin-extended-v1	â	a
latin-extended-v1	ä	a
latin-extended-v1	ã	a
latin-extended-v1	å	a
latin-extended-v1	ā	a
latin-extended-v1	ă	a
latin-extended-v1	ą	a
latin-extended-v1	ǎ	a
latin-extended-v1	c	c
latin-extended-v1	ç	c
latin-extended-v1	ć	c
latin-extended-v1	č	c
latin-extended-v1	ċ	c
latin-extended-v1	d	d
latin-extended-v1	ď	d
latin-extended-v1	đ	d
latin-extended-v1	e	e
latin-extended-v1	é	e
latin-extended-v1	è	e
latin-extended-v1	ê	e
latin-extended-v1	ë	e
latin-extended-v1	ę	e
latin-extended-v1	ě	e
latin-extended-v1	ē	e
latin-extended-v1	ė	e
latin-extended-v1	g	g
latin-extended-v1	ğ	g
latin-extended-v1	ģ	g
latin-extended-v1	i	i
latin-extended-v1	í	i
latin-extended-v1	ì	i
latin-extended-v1	î	i
latin-extended-v1	ï	i
latin-extended-v1	ı	i
latin-extended-v1	ī	i
latin-extended-v1	į	i
latin-extended-v1	ǐ	i
latin-extended-v1	l	l
latin-extended-v1	ł	l
latin-extended-v1	ľ	l
latin-extended-v1	ĺ	l
latin-extended-v1	ļ	l
latin-extended-v1	n	n
latin-extended-v1	ñ	n
latin-extended-v1	ń	n
latin-extended-v1	ň	n
latin-extended-v1	ņ	n
latin-extended-v1	o	o
latin-extended-v1	ó	o
latin-extended-v1	ò	o
latin-extended-v1	ô	o
latin-extended-v1	ö	o
latin-extended-v1	õ	o
latin-extended-v1	ø	o
latin-extended-v1	ō	o
latin-extended-v1	ő	o
latin-extended-v1	ǒ	o
latin-extended-v1	r	r
latin-extended-v1	ř	r
latin-extended-v1	ŕ	r
latin-extended-v1	ŗ	r
latin-extended-v1	s	s
latin-extended-v1	ś	s
latin-extended-v1	š	s
latin-extended-v1	ş	s
latin-extended-v1	ș	s
latin-extended-v1	t	t
latin-extended-v1	ť	t
latin-extended-v1	ţ	t
latin-extended-v1	ț	t
latin-extended-v1	u	u
latin-extended-v1	ú	u
latin-extended-v1	ù	u
latin-extended-v1	û	u
latin-extended-v1	ü	u
latin-extended-v1	ů	u
latin-extended-v1	ű	u
latin-extended-v1	ū	u
latin-extended-v1	ũ	u
latin-extended-v1	ų	u
latin-extended-v1	ǔ	u
latin-extended-v1	y	y
latin-extended-v1	ý	y
latin-extended-v1	ÿ	y
latin-extended-v1	ŷ	y
latin-extended-v1	z	z
latin-extended-v1	ź	z
latin-extended-v1	ż	z
latin-extended-v1	ž	z
latin-extended-v1	A	a
latin-extended-v1	Á	a
latin-extended-v1	À	a
latin-extended-v1	Â	a
latin-extended-v1	Ä	a
latin-extended-v1	Ã	a
latin-extended-v1	Å	a
latin-extended-v1	Ā	a
latin-extended-v1	Ă	a
latin-extended-v1	Ą	a
latin-extended-v1	Ǎ	a
latin-extended-v1	C	c
latin-extended-v1	Ç	c
latin-extended-v1	Ć	c
latin-extended-v1	Č	c
latin-extended-v1	Ċ	c
latin-extended-v1	D	d
latin-extended-v1	Ď	d
latin-extended-v1	Đ	d
latin-extended-v1	E	e
latin-extended-v1	É	e
latin-extended-v1	È	e
latin-extended-v1	Ê	e
latin-extended-v1	Ë	e
latin-extended-v1	Ę	e
latin-extended-v1	Ě	e
latin-extended-v1	Ē	e
latin-extended-v1	Ė	e
latin-extended-v1	G	g
latin-extended-v1	Ğ	g
latin-extended-v1	Ģ	g
latin-extended-v1	Í	i
latin-extended-v1	Ì	i
latin-extended-v1	Î	i
latin-extended-v1	Ï	i
latin-extended-v1	I	i
latin-extended-v1	Ī	i
latin-extended-v1	Į	i
latin-extended-v1	Ǐ	i
latin-extended-v1	L	l
latin-extended-v1	Ł	l
latin-extended-v1	Ľ	l
latin-extended-v1	Ĺ	l
latin-extended-v1	Ļ	l
latin-extended-v1	N	n
latin-extended-v1	Ñ	n
latin-extended-v1	Ń	n
latin-extended-v1	Ň	n
latin-extended-v1	Ņ	n
latin-extended-v1	O	o
latin-extended-v1	Ó	o
latin-extended-v1	Ò	o
latin-extended-v1	Ô	o
latin-extended-v1	Ö	o
latin-extended-v1	Õ	o
latin-extended-v1	Ø	o
latin-extended-v1	Ō	o
latin-extended-v1	Ő	o
latin-extended-v1	Ǒ	o
latin-extended-v1	R	r
latin-extended-v1	Ř	r
latin-extended-v1	Ŕ	r
latin-extended-v1	Ŗ	r
latin-extended-v1	S	s
latin-extended-v1	Ś	s
latin-extended-v1	Š	s
latin-extended-v1	Ş	s
latin-extended-v1	Ș	s
latin-extended-v1	T	t
latin-extended-v1	Ť	t
latin-extended-v1	Ţ	t
latin-extended-v1	Ț	t
latin-extended-v1	U	u
latin-extended-v1	Ú	u
latin-extended-v1	Ù	u
latin-extended-v1	Û	u
latin-extended-v1	Ü	u
latin-extended-v1	Ů	u
latin-extended-v1	Ű	u
latin-extended-v1	Ū	u
latin-extended-v1	Ũ	u
latin-extended-v1	Ų	u
latin-extended-v1	Ǔ	u
latin-extended-v1	Y	y
latin-extended-v1	Ý	y
latin-extended-v1	Ÿ	y
latin-extended-v1	Ŷ	y
latin-extended-v1	Z	z
latin-extended-v1	Ź	z
latin-extended-v1	Ż	z
latin-extended-v1	Ž	z
latin-extended-v1	İ	i
